asset	collision_w	collision_h	alpha_w	alpha_h	left	right	top	bottom	scale
technician_idle	32	48	30	47	1	1	1	0	1
technician_live_f1	32	48	30	47	1	1	1	0	1
technician_live_f2	32	48	30	47	1	1	1	0	1
technician_live_f3	32	48	30	47	1	1	1	0	1
technician_live_f4	32	48	30	47	1	1	1	0	1
technician_live_f5	32	48	30	47	1	1	1	0	1
technician_live_f6	32	48	30	47	1	1	1	0	1
technician_live_f7	32	48	30	47	1	1	1	0	1
technician_live_f8	32	48	30	47	1	1	1	0	1
technician_live_f9	32	48	30	47	1	1	1	0	1
technician_live_f10	32	48	30	47	1	1	1	0	1
technician_live_f11	32	48	30	47	1	1	1	0	1
technician_live_f12	32	48	30	47	1	1	1	0	1
technician_live_f13	32	48	30	47	1	1	1	0	1
technician_live_f14	32	48	30	47	1	1	1	0	1
technician_live_f15	32	48	30	47	1	1	1	0	1
technician_live_f16	32	48	30	47	1	1	1	0	1
technician_death_noninteractive_f17	32	48	29	19	2	1	28	1	1
technician_death_noninteractive_f18	32	48	29	19	2	1	28	1	1
technician_death_noninteractive_f19	32	48	29	19	2	1	28	1	1
falling_red_soda_f1	72	72	72	68	0	0	2	2	2
falling_red_soda_f2	72	72	72	68	0	0	2	2	2
falling_red_soda_f3	72	72	72	68	0	0	2	2	2
falling_red_soda_f4	72	72	72	68	0	0	2	2	2
landed_red_soda	72	48	68	44	2	2	4	0	2
falling_blue_coffee_f1	72	72	72	68	0	0	2	2	2
falling_blue_coffee_f2	72	72	72	68	0	0	2	2	2
falling_blue_coffee_f3	72	72	72	68	0	0	2	2	2
falling_blue_coffee_f4	72	72	72	68	0	0	2	2	2
landed_blue_coffee	72	48	68	44	2	2	4	0	2
falling_green_sports_f1	72	72	72	68	0	0	2	2	2
falling_green_sports_f2	72	72	72	68	0	0	2	2	2
falling_green_sports_f3	72	72	72	68	0	0	2	2	2
falling_green_sports_f4	72	72	72	68	0	0	2	2	2
landed_green_sports	72	48	68	44	2	2	4	0	2
retrieval_carriage	96	28	96	28	0	0	0	0	2
