asset	frame	collision_w	collision_h	alpha_w	alpha_h	left	right	top	bottom	scale	threshold_flag
technician_live	1	32	48	32	48	0	0	0	0	1	OK
technician_live	2	32	48	32	48	0	0	0	0	1	OK
technician_live	3	32	48	32	48	0	0	0	0	1	OK
technician_live	4	32	48	32	48	0	0	0	0	1	OK
technician_live	5	32	48	32	48	0	0	0	0	1	OK
technician_live	6	32	48	32	48	0	0	0	0	1	OK
technician_live	7	32	48	32	48	0	0	0	0	1	OK
technician_live	8	32	48	32	48	0	0	0	0	1	OK
technician_live	9	32	48	32	48	0	0	0	0	1	OK
technician_live	10	32	48	32	48	0	0	0	0	1	OK
technician_live	11	32	48	32	48	0	0	0	0	1	OK
technician_live	12	32	48	32	48	0	0	0	0	1	OK
technician_live	13	32	48	32	48	0	0	0	0	1	OK
technician_live	14	32	48	32	48	0	0	0	0	1	OK
technician_live	15	32	48	32	48	0	0	0	0	1	OK
technician_live	16	32	48	32	48	0	0	0	0	1	OK
technician_death_noninteractive	17	32	48	31	22	1	0	25	1	1	REVIEW
technician_death_noninteractive	18	32	48	31	22	1	0	25	1	1	REVIEW
technician_death_noninteractive	19	32	48	31	22	1	0	25	1	1	REVIEW
falling_red_soda	1	72	72	52	70	10	10	2	0	2	REVIEW
falling_red_soda	2	72	72	64	64	4	4	4	4	2	OK
falling_red_soda	3	72	72	70	52	2	0	10	10	2	REVIEW
falling_red_soda	4	72	72	64	64	4	4	4	4	2	OK
falling_red_soda	5	72	72	52	70	10	10	0	2	2	REVIEW
falling_red_soda	6	72	72	64	64	4	4	4	4	2	OK
falling_red_soda	7	72	72	70	52	0	2	10	10	2	REVIEW
falling_red_soda	8	72	72	64	64	4	4	4	4	2	OK
landed_red_soda	1	72	48	68	44	2	2	2	2	2	OK
landed_red_soda	2	72	48	68	44	2	2	4	0	2	OK
landed_red_soda	3	72	48	68	44	2	2	4	0	2	OK
landed_red_soda	4	72	48	68	44	2	2	4	0	2	OK
falling_blue_coffee	1	72	72	52	70	10	10	2	0	2	REVIEW
falling_blue_coffee	2	72	72	64	64	4	4	4	4	2	OK
falling_blue_coffee	3	72	72	70	52	2	0	10	10	2	REVIEW
falling_blue_coffee	4	72	72	64	64	4	4	4	4	2	OK
falling_blue_coffee	5	72	72	52	70	10	10	0	2	2	REVIEW
falling_blue_coffee	6	72	72	64	64	4	4	4	4	2	OK
falling_blue_coffee	7	72	72	70	52	0	2	10	10	2	REVIEW
falling_blue_coffee	8	72	72	64	64	4	4	4	4	2	OK
landed_blue_coffee	1	72	48	68	44	2	2	2	2	2	OK
landed_blue_coffee	2	72	48	68	44	2	2	4	0	2	OK
landed_blue_coffee	3	72	48	68	44	2	2	4	0	2	OK
landed_blue_coffee	4	72	48	68	44	2	2	4	0	2	OK
falling_green_sports	1	72	72	52	70	10	10	2	0	2	REVIEW
falling_green_sports	2	72	72	64	64	4	4	4	4	2	OK
falling_green_sports	3	72	72	70	52	2	0	10	10	2	REVIEW
falling_green_sports	4	72	72	64	64	4	4	4	4	2	OK
falling_green_sports	5	72	72	52	70	10	10	0	2	2	REVIEW
falling_green_sports	6	72	72	64	64	4	4	4	4	2	OK
falling_green_sports	7	72	72	70	52	0	2	10	10	2	REVIEW
falling_green_sports	8	72	72	64	64	4	4	4	4	2	OK
landed_green_sports	1	72	48	68	44	2	2	2	2	2	OK
landed_green_sports	2	72	48	68	44	2	2	4	0	2	OK
landed_green_sports	3	72	48	68	44	2	2	4	0	2	OK
landed_green_sports	4	72	48	68	44	2	2	4	0	2	OK
